EXT1,EXT2,EXT3,EXT4,EXT5,EXT6,EXT7,EXT8,EXT9,EXT10,EST1,EST2,EST3,EST4,EST5,EST6,EST7,EST8,EST9,EST10,AGR1,AGR2,AGR3,AGR4,AGR5,AGR6,AGR7,AGR8,AGR9,AGR10,CSN1,CSN2,CSN3,CSN4,CSN5,CSN6,CSN7,CSN8,CSN9,CSN10,OPN1,OPN2,OPN3,OPN4,OPN5,OPN6,OPN7,OPN8,OPN9,OPN10,EXT1_E,EXT2_E,EXT3_E,EXT4_E,EXT5_E,EXT6_E,EXT7_E,EXT8_E,EXT9_E,EXT10_E,EST1_E,EST2_E,EST3_E,EST4_E,EST5_E,EST6_E,EST7_E,EST8_E,EST9_E,EST10_E,AGR1_E,AGR2_E,AGR3_E,AGR4_E,AGR5_E,AGR6_E,AGR7_E,AGR8_E,AGR9_E,AGR10_E,CSN1_E,CSN2_E,CSN3_E,CSN4_E,CSN5_E,CSN6_E,CSN7_E,CSN8_E,CSN9_E,CSN10_E,OPN1_E,OPN2_E,OPN3_E,OPN4_E,OPN5_E,OPN6_E,OPN7_E,OPN8_E,OPN9_E,OPN10_E,dateload,screenw,screenh,introelapse,testelapse,endelapse,IPC,country,lat_appx_lots_of_err,long_appx_lots_of_err
2,4,5,3,5,1,3,5,5,5,1,4,5,5,1,1,1,1,1,1,1,5,1,5,1,3,1,5,5,5,4,3,5,1,5,1,5,1,5,5,4,2,4,2,5,1,5,1,5,5,12503,13580,20980,58132,8413,39220,11047,68530,47971,19273,29608,10761,2724,116372,57349,37385,59785,42604,3096,3348,5099,8563,3540,111468,4528,43729,4325,39016,37218,44504,7852,52929,2692,49758,64288,72196,39052,38640,5035,2885,6593,15951,3012,8005,3395,6616,5231,4589,3684,3132,2016-03-03 02:46:07,1366,768,1254,1396,53,1,ES,41.3994,2.1757
3,1,4,3,4,2,3,2,4,5,4,3,4,4,4,4,4,5,5,4,3,4,1,5,3,4,2,4,5,5,2,3,3,4,4,4,2,2,3,4,2,4,5,3,3,1,5,2,5,3,5864,4167,4152,3040,3319,2519,3839,2898,2606,2807,3416,5784,3144,5544,3470,3056,3921,2239,1936,3230,4190,2384,4984,2968,6524,3615,4735,3046,2456,3063,4007,5272,7776,3591,3112,4558,6214,19028,3055,4784,3264,5567,3615,3585,2960,2231,2974,3320,3383,3575,2016-03-03 02:46:28,1438,808,90,208,13,3,IN,20.0,77.0
4,2,4,2,3,0,2,2,4,3,4,2,4,4,4,4,4,4,4,3,3,3,2,3,3,3,2,3,4,3,2,5,3,4,2,4,2,5,3,2,4,3,5,3,5,1,4,4,2,5,8597,24843,6779,4528,2684,0,6939,3939,5014,3124,8369,4160,1752,3431,2399,4751,3297,14795,2032,3854,9182,2273,8141,5925,9237,4546,4340,4121,5073,3086,11034,13350,3166,4944,19288,5367,3072,15792,8450,2622,3408,3650,1812,6630,4373,3567,3629,2406,4566,1367,2016-03-03 02:53:26,360,640,648,295,17,1,FR,43.6043,1.4437
3,3,4,3,4,0,4,3,2,3,2,4,4,2,3,3,4,4,2,4,1,5,2,5,1,5,1,4,5,5,2,5,4,2,1,4,2,3,1,2,4,4,4,1,3,2,5,3,4,3,5743,3477,6130,3436,4787,0,7263,2542,9142,5022,4051,5300,3047,2178,6420,6293,1379,2811,4357,2529,6150,2140,6325,3275,2916,9187,3705,4639,2884,1541,8344,2399,2773,3466,3422,4165,11687,7538,3436,2848,3632,3414,1990,4290,5537,6060,2743,3788,4569,6208,2016-03-03 02:54:06,1366,768,8,223,11,1,IN,20.0,77.0
2,4,4,2,3,2,2,4,1,5,2,4,4,2,2,2,2,2,2,2,1,4,1,4,2,3,2,5,4,4,3,2,5,1,3,2,4,2,3,4,4,1,3,1,4,2,4,3,5,4,5556,4695,4904,7872,5817,2736,3408,7863,9719,3920,9532,2720,2168,5368,4247,5896,2440,1488,1376,7416,4133,5256,2751,4784,1247,5560,3593,4832,6137,7887,3851,3272,2744,3231,10144,2008,4367,5568,8647,8480,2545,2848,4272,1720,4352,9247,2968,9744,3352,5256,2016-03-03 02:54:14,1366,768,29,246,8,1,FR,48.86,2.35
3,5,4,3,3,4,2,2,2,4,1,2,3,2,2,2,3,2,2,4,3,4,3,2,1,4,2,3,3,4,5,4,4,2,4,2,2,2,5,5,3,2,4,2,2,2,4,2,4,5,8120,5664,4968,5607,9504,4880,5592,4544,5680,3544,5792,4464,4768,3648,6160,2776,3216,5784,4432,3544,17049,10704,5384,5225,5472,4760,3385,7431,11344,576,6111,4288,5352,4591,6912,6656,5503,4800,3536,10768,6360,5176,3872,5040,6392,3880,7328,3496,6512,3192,2016-03-03 02:55:00,1600,900,3,285,31,2,AE,24.0,54.0
4,1,5,1,5,2,5,1,5,1,3,3,4,3,4,4,4,4,4,3,3,5,3,2,3,2,1,5,3,5,3,5,4,4,2,4,2,3,2,4,4,1,4,1,4,2,5,3,5,4,3611,2440,3758,2182,1935,1204,2565,2160,3296,1777,14813,2790,2474,2835,3150,3072,5277,844,1451,3746,5444,1564,2711,3713,3791,889,4084,1800,2722,1969,979,2442,1272,2047,5580,3645,4252,4039,2048,1260,4913,4973,1441,2543,3780,3858,7098,3195,3747,3027,2016-03-03 02:57:21,2560,1440,108,161,15,1,HR,45.1667,15.5
1,2,3,4,3,3,2,5,1,5,3,2,4,1,2,3,3,3,4,3,3,3,4,3,4,5,3,3,3,2,3,3,4,2,3,1,4,1,1,3,4,4,5,2,3,1,3,4,4,4,3476,4488,2002,2334,2128,4202,6396,3380,6049,3768,1280,2078,1287,2774,6804,2314,2996,2823,3894,2672,2983,2422,2614,2952,4374,2628,2476,3036,5284,2954,3436,7192,5264,3136,2768,5392,5436,2522,3268,3668,2966,3606,2350,5140,6370,4036,2926,3258,3400,2568,2016-03-03 02:59:55,1366,768,24,179,14,1,US,36.2082,-86.879
1,4,1,3,2,3,2,3,4,4,5,2,5,2,3,3,0,4,5,4,3,4,4,4,3,4,2,2,3,1,4,2,5,4,1,3,4,4,2,3,5,2,5,2,4,2,4,4,5,4,4876,6506,2240,4306,3180,2840,2323,1965,2062,2650,1912,4266,910,1709,3618,4355,0,1368,1558,2218,3836,2191,2574,1853,6386,3278,6272,2435,7880,2418,4575,3289,2732,4439,1920,4444,1516,2606,1513,2388,1434,4856,1174,3774,5344,1359,3594,4684,2234,3296,2016-03-03 03:00:23,1280,800,16,157,6,1,GR,37.9667,23.7167
1,4,5,4,4,1,2,1,1,2,2,3,4,2,2,2,4,4,2,3,1,5,1,5,1,4,1,5,5,5,3,4,4,1,2,4,4,1,3,5,5,1,5,1,4,1,5,5,5,4,7951,12088,3568,14169,12024,2088,13496,4760,2936,10561,28000,9143,7215,16664,11208,12056,8528,22152,14519,1598,3791,2592,2448,3063,2480,14352,2936,3728,3504,2712,6576,11712,18144,7024,14143,10032,10576,4128,1864,3520,4344,3056,7584,4000,8305,4464,3560,2728,5144,5770,2016-03-03 03:01:38,1680,1050,2,409,10,1,IE,53.3478,-6.2597
2,4,4,4,4,2,2,4,4,4,2,2,4,2,2,2,2,1,1,4,1,4,1,5,1,5,2,4,5,4,2,2,5,1,2,2,4,1,2,4,4,3,4,2,4,2,4,2,4,4,8238,2974,4564,4697,4746,3450,4300,2619,10503,3562,4628,3324,13013,2974,1935,3821,2447,2378,7534,2220,4601,7709,2983,5176,3517,5030,3782,4852,2318,3637,4257,9429,2191,2109,9352,7650,4740,3754,9613,3784,4015,13588,2195,3850,5624,8147,2881,3619,4546,1727,2016-03-03 03:02:23,1280,720,22,246,18,1,IN,28.6667,77.2167
5,1,5,2,4,1,4,3,4,2,2,4,4,4,3,1,1,1,2,2,1,5,2,4,1,4,1,4,4,4,3,2,3,2,2,2,4,2,3,4,5,1,4,1,4,2,5,5,4,4,7398,1989,3201,1515,2452,1751,3346,3463,2084,3115,3849,2099,4482,2647,1847,2299,2868,1784,4878,2948,1449,3796,1884,3000,3529,2167,1935,2417,2651,2081,3983,3384,1780,4434,1467,3364,1482,4548,2697,2370,2542,2287,2467,1486,1730,5300,3382,2532,2368,1001,2016-03-03 03:03:51,1280,1024,3,141,4,1,GB,51.5166,-0.192
2,4,3,5,2,4,3,3,4,5,4,3,5,4,4,4,4,4,4,4,2,4,3,4,2,4,3,3,4,2,3,4,3,4,1,4,3,3,2,4,5,2,5,2,4,2,5,4,4,5,5553,3101,2353,1587,7814,2303,3350,5522,2003,1801,1536,3098,2681,1518,2985,1417,2812,1883,1850,434,5402,2282,1450,2263,2454,1799,3335,2614,3063,3449,4527,3881,2649,1869,2114,2399,2616,2301,2035,5366,1700,2919,4133,5282,3231,2033,2000,1849,2200,1218,2016-03-03 03:06:44,1366,768,2,142,5,1,BR,-12.25,-38.95
3,2,5,1,3,2,5,3,2,4,4,4,2,1,2,1,2,2,1,3,3,3,1,3,2,2,2,3,2,3,4,2,4,1,3,4,2,3,3,4,3,2,3,3,3,1,4,3,3,3,9777,2816,4640,4200,3495,2272,6672,7478,7280,3256,40087,4952,5505,9664,4784,5832,3144,2584,4608,2360,17304,3648,3656,3520,4360,3504,4912,4304,3800,4816,7144,4280,4871,3872,4824,3904,6808,3856,1832,3696,9568,5088,7919,3937,4095,6288,3777,10520,3199,3576,2016-03-03 03:07:45,1600,1200,5,293,13,10,GB,53.45,-2.7333
4,5,4,4,4,1,2,2,0,3,5,2,4,4,3,2,3,1,3,2,1,4,2,5,0,4,1,4,3,5,4,1,3,3,4,1,5,1,4,4,5,1,3,1,5,1,4,5,2,5,4479,4328,4823,5305,2260,6521,2457,6054,0,3822,2292,4128,3111,3024,1957,2592,4924,2742,1463,3150,3547,3486,3140,2732,0,10743,2630,4341,8856,2009,3053,4761,5071,4279,6734,3101,2456,2294,2357,3089,2148,4419,4592,3436,1479,5579,1896,3970,6808,6475,2016-03-03 03:07:49,1366,768,18,192,10,1,IN,20.0,77.0
3,3,4,3,2,2,3,5,4,5,2,4,5,2,4,2,5,1,4,3,2,4,3,4,2,3,2,4,2,3,4,2,3,3,3,4,5,2,4,4,3,3,3,3,4,3,3,3,4,3,11656,4240,9792,4800,2680,1647,3440,3127,2264,2744,2968,2824,3992,3256,1992,2928,2000,2304,10783,2216,5879,2216,8512,1904,2936,3624,3424,5784,2264,4464,39982,3560,2208,2472,3080,3456,2600,2248,3952,5144,3264,3319,3551,2928,1880,2552,2976,2672,2928,1503,2016-03-03 03:08:02,1440,900,5,220,13,10,GB,53.45,-2.7333
2,1,3,3,5,2,4,5,5,3,5,1,5,1,5,5,1,5,5,5,4,5,4,4,2,4,1,4,4,5,1,1,5,5,1,5,5,5,1,1,2,5,5,5,1,2,4,2,4,3,6696,5267,3948,4834,32934,4182,5266,3399,18767,9566,3331,2885,2432,4516,4301,2818,3198,10629,2417,2734,4701,1482,3850,3818,5066,5316,2401,4568,1566,1451,2385,4867,3335,4649,3185,4718,3650,21872,2235,5750,6584,4017,1634,2984,3200,3384,3184,95819,5316,1882,2016-03-03 03:08:16,1366,768,13,355,12,1,OM,21.0,57.0
5,1,5,1,5,1,5,3,3,3,4,3,3,1,3,4,3,2,3,1,3,2,3,1,5,1,4,3,2,2,3,1,3,3,1,3,2,1,1,1,4,5,3,5,3,1,3,2,4,3,4628,7512,4808,11000,3072,2408,5128,3552,2999,4463,5760,5921,2536,5192,2537,4496,8400,4865,2984,1560,5960,6240,4448,5528,6416,4536,10384,3904,5713,4649,5848,6224,4536,4368,4568,3880,4408,4528,4088,3712,8168,8871,2960,3592,3431,6168,4816,5440,2720,2816,2016-03-03 03:09:36,1280,1024,3,247,19,10,GB,53.45,-2.7333
5,1,3,1,5,1,5,1,5,1,3,3,3,5,3,3,3,3,3,1,1,5,3,3,3,5,3,3,3,5,3,3,3,1,3,3,5,3,3,5,5,3,3,3,5,3,0,3,3,5,5473,3799,3985,4952,8348,6481,8650,6302,4082,17915,5699,3780,3886,10882,3397,3751,6884,3299,8468,4335,9802,5150,3284,4034,6419,2983,35635,2982,4236,10001,5165,8885,16112,24816,6667,5900,3233,3116,2745,4133,5784,5965,3631,4917,4338,2963,0,2735,2718,3284,2016-03-03 03:11:01,1366,768,6,331,25,1,KE,-1.2833,36.8167
4,1,4,2,5,1,4,2,5,2,3,4,4,2,4,4,3,2,3,2,1,4,3,5,2,5,2,4,5,4,4,4,3,3,4,4,3,2,4,2,3,2,4,2,3,2,4,2,5,3,5522,1112,7928,5687,4603,4945,4176,3808,2850,3403,4329,3393,6649,3500,2901,2695,3660,2336,2704,2323,6221,8365,919,721,4687,5419,4561,5495,3020,4963,3767,3655,5501,5715,5454,4558,14277,3297,4511,2633,7315,3268,3555,8231,5562,2950,3365,2449,2820,2507,2016-03-03 03:11:20,360,640,47,220,9,1,AU,-27.0,133.0
1,4,3,5,2,5,3,4,4,3,3,3,4,2,2,3,5,4,3,5,2,4,1,4,2,4,2,5,4,4,2,5,4,4,1,4,1,3,1,4,4,1,5,3,3,2,5,1,4,4,3214,3501,3766,4884,2269,4619,3354,5035,2884,6662,7004,3502,2317,37229,1650,1233,2780,2784,10783,3350,3954,5518,1647,5300,2466,1049,2746,5084,1918,4418,2212,3415,2531,4366,5249,6034,1934,7084,2000,23652,2283,2784,2168,3026,3915,2268,2401,2032,3572,1132,2016-03-03 03:12:22,768,1024,33,232,4,1,ES,41.4969,2.1574
3,3,2,2,4,2,3,3,4,3,2,4,3,2,3,2,2,3,2,1,2,4,1,5,2,3,2,4,4,5,3,4,4,2,2,3,4,3,3,3,3,1,4,1,3,1,5,4,4,4,6614,7744,2979,2158,2089,1469,6538,2211,2553,1938,6534,2557,4042,4505,3395,1699,1874,3175,1787,3889,2383,2661,4105,2458,2597,1859,2705,1899,1679,2087,8572,2170,3060,2593,2522,4715,2406,2796,7759,3391,4384,3424,2194,6112,2158,2238,2900,1775,2478,1328,2016-03-03 03:13:14,1440,900,3,164,10,1,FR,48.8322,2.3561
2,3,2,4,2,2,2,3,3,4,4,2,2,1,4,4,5,5,3,5,2,3,3,4,2,4,2,4,4,2,2,5,4,5,1,5,3,4,2,5,4,2,4,4,4,1,4,4,4,5,5083,5047,4798,3296,4026,2283,4890,3547,1779,3122,4101,4457,6357,2615,14708,4679,5919,2191,2759,1602,4502,3724,2092,2516,4402,3548,3534,2614,2828,2478,2774,4978,7215,6707,3266,7811,12314,2333,2663,5247,1780,4766,2945,4574,1272,2912,3409,2949,18760,1656,2016-03-03 03:14:07,1440,900,44,222,8,1,GB,52.9667,-1.1667
4,3,4,2,2,4,4,2,4,4,4,4,2,2,2,2,4,4,2,3,2,5,2,4,2,4,1,4,4,4,1,4,3,4,2,4,1,2,1,2,5,1,5,1,4,1,4,4,5,5,2838,2816,1215,1520,4224,5764,2176,2383,1616,2648,2192,1776,1256,1328,2192,1952,2200,2744,1840,3088,2544,2360,1432,2232,1400,1696,1832,1728,1240,870,1480,952,2705,3240,1864,1513,1416,3200,1600,1240,1352,1704,1184,1824,2352,1272,1280,872,2208,696,2016-03-03 03:14:19,1920,1080,2,101,4,1,GB,51.5,-0.13
3,5,3,4,2,5,2,4,5,5,4,3,3,4,2,5,5,5,4,4,5,2,2,4,3,4,3,4,4,3,4,1,5,2,3,4,5,3,4,4,4,1,5,1,4,1,5,3,5,5,6560,3403,4872,8241,1833,4580,7232,4618,3716,6429,3299,4892,2317,2519,7883,2715,5465,14422,1133,1001,16163,5980,1667,2337,5275,1333,4910,4446,4620,6931,2971,4247,5282,4160,4016,11374,5420,21895,3533,4047,5587,5599,2451,6819,1983,4072,3138,13984,2970,866,2016-03-03 03:15:45,768,1024,21,268,14,1,PH,14.5833,120.9667
1,5,2,4,2,4,1,2,4,5,4,2,4,1,3,4,3,3,4,5,1,1,1,4,4,4,5,3,3,2,4,3,3,3,2,3,5,1,4,4,5,1,4,1,4,1,4,4,5,5,4978,2947,3091,52760,1935,3559,3179,4627,11360,1903,4646,2459,2186,4261,918,2507,2673,4914,3190,7684,3157,2505,2670,3077,6128,2287,23863,15000,2339,6381,3422,4943,8170,3588,4745,4962,2388,4710,3308,3674,3013,5009,3576,3992,1251,2368,2555,2769,2017,1051,2016-03-03 03:17:59,1280,800,2,267,6,1,HK,22.3167,114.1833
3,4,5,3,5,2,4,4,5,3,5,3,5,3,3,1,3,3,1,5,2,5,3,5,3,5,1,5,5,5,5,1,5,3,3,1,3,3,2,4,4,1,5,1,4,1,5,1,5,5,10973,3366,3360,1558,2728,3078,4045,3163,4052,2656,32298,9009,1348,23400,2165,7296,22056,3442,6247,2714,6335,1399,2737,3100,4268,6794,4472,18019,3368,3556,4294,4162,3053,3306,6741,1828,1833,1714,2927,7150,3654,6195,3385,3638,14229,1780,6302,2747,3887,1373,2016-03-03 03:18:26,320,480,20,313,21,7,PH,14.5833,120.9667
3,4,1,4,3,2,2,4,3,5,5,3,4,3,5,1,3,2,5,2,4,2,5,1,5,2,4,1,1,4,2,5,4,3,1,4,5,3,3,5,3,4,2,2,4,4,5,3,4,2,5312,2916,3950,3567,4650,2984,4949,5784,9350,2328,3426,6517,4525,3206,3061,5301,2933,2536,2182,2733,8134,3166,2750,4202,6484,4549,3300,47952,2818,3067,2724,4551,3752,5567,3641,11634,13134,3782,2700,4916,3167,3816,2673,5343,2965,4034,5467,4300,4406,2034,2016-03-03 03:19:48,1366,768,15,265,16,1,US,37.2965,-79.9878
1,5,1,5,1,5,1,5,1,1,3,1,5,3,1,1,1,3,1,1,1,1,5,1,1,1,5,1,5,1,1,1,5,1,3,1,1,3,3,1,1,1,3,1,3,1,5,1,3,5,10203,4919,2474,4710,3578,3265,4047,2776,5278,3809,5813,3041,6879,3468,4243,4110,3401,5755,4555,1741,23121,3827,3777,4964,6370,2668,8542,3721,4046,3458,3121,4733,3259,4278,5413,4428,2388,4539,2706,6054,2994,11914,1430,3725,4628,3313,3343,3694,3881,3256,2016-03-03 03:21:04,360,640,5,238,31,2,HK,22.2833,114.15
2,3,3,3,3,3,4,3,3,4,4,2,5,2,4,4,4,4,4,5,2,4,1,4,2,4,2,3,4,4,4,3,4,3,3,4,4,2,4,4,4,2,5,2,4,2,4,5,4,4,2306,1537,1568,1604,1304,902,2720,1869,2255,1937,2585,919,909,1433,3425,934,1338,2706,1002,1686,1634,2101,2974,1685,1435,1185,2055,1621,2170,1135,2473,1906,4359,1188,3204,1721,2169,4960,1421,1419,888,2941,1829,2057,1970,2576,1320,1453,1320,2355,2016-03-03 03:21:45,1280,800,4,97,4,1,DE,51.5198,7.4378
2,2,3,3,5,2,2,5,2,3,4,2,4,2,2,3,4,3,4,4,1,4,1,5,2,4,1,4,5,4,2,4,5,3,2,4,3,4,2,4,5,1,4,1,4,1,4,5,4,4,2531,2873,1868,305382,759,2581,1999,1749,2869,1519,2091,2407,6368,1303,4409,1772,2955,1413,1238,822,4501,2653,3773,2442,3062,1837,1255,2461,1745,1985,870,852,2435,2433,1384,3673,3021,1002,1281,2380,1622,1522,1748,3006,1052,1279,2466,1258,3175,3993,2016-03-03 03:22:20,1280,720,11,417,6,2,GB,51.75,-1.25
1,4,2,5,3,1,1,5,3,5,2,5,5,5,3,5,3,1,1,1,2,5,1,5,2,4,1,4,4,3,4,3,4,1,2,4,3,2,2,4,4,1,3,1,4,2,5,2,5,4,12369,5432,1888,6312,5248,3888,2496,5424,2640,2632,3480,3816,1278,5144,7824,2392,4847,3584,2407,4776,2335,1368,3000,1576,8583,7176,3831,9680,2920,2480,6064,10168,4809,5432,1296,3088,3881,2304,2456,1872,2624,2320,3904,4416,2864,4288,1704,3208,3512,4008,2016-03-03 03:22:59,1920,1200,15,207,15,1,GB,51.4333,-1.0
4,2,5,2,5,1,4,2,4,2,1,5,2,4,1,1,1,1,1,5,1,5,1,5,1,2,1,5,5,5,5,2,5,1,5,1,5,1,5,5,4,1,4,1,4,1,4,3,5,4,4933,3343,7215,3529,2413,2470,4346,2803,4334,3169,4191,2277,4816,2652,2613,2294,4071,1252,2228,4441,4393,2972,5952,2454,2710,7205,2561,3107,2315,2773,2626,4022,1954,2137,19351,3989,1919,2426,1790,3323,2868,3816,5343,21306,2280,1433,2787,3079,4346,4985,2016-03-03 03:26:32,1920,1080,3,203,8,1,AU,-37.8139,144.9634
1,5,3,4,3,5,2,4,2,3,4,3,4,4,4,4,4,4,4,3,1,4,2,5,2,4,2,3,4,1,1,3,4,4,4,4,4,3,2,3,4,3,4,3,3,2,4,2,4,2,6896,3561,22713,3287,26843,2890,6686,3039,2133,5074,2692,2481,1563,3460,1117,1576,3324,2083,1922,1452,2776,2393,3796,2058,6810,5644,4714,5483,1799,6215,4478,2829,2320,2656,3547,2828,2654,1762,5384,2158,2270,2778,1427,2803,3809,3621,9738,1960,11299,6387,2016-03-03 03:26:45,1366,768,17,225,12,3,IN,12.9833,77.5833
2,2,2,4,3,2,1,4,4,5,1,3,3,5,2,1,4,3,4,1,5,2,4,1,3,1,4,2,1,2,1,5,4,1,1,4,2,4,1,4,5,1,3,1,4,1,4,5,5,4,3754,2578,2428,2640,3507,1466,3426,2066,3714,1757,2860,1959,1855,2405,6524,1606,4693,2345,2119,1918,2086,2795,2087,1404,2563,992,4397,2138,1560,3669,2495,2309,2436,2491,2411,2837,1416,1662,1136,1578,39758,3244,1572,1948,2018,2489,1801,1714,2759,1315,2016-03-03 03:28:32,1920,1200,32,160,12,3,GB,52.9624,-1.1686
3,2,5,3,4,2,4,3,3,3,2,3,4,2,3,3,5,5,2,3,1,4,1,5,2,5,1,3,4,4,3,1,3,2,4,2,3,3,2,4,3,4,5,3,3,1,5,2,4,3,7756,2473,3417,5033,2469,2809,3333,2001,1607,2734,3238,2803,2093,3337,2021,2101,2051,1714,2938,1771,3123,4243,4315,2550,4001,4704,2032,3967,1915,2134,2061,5518,3352,3028,2779,5635,1424,1978,2780,2764,2611,2568,2173,2516,3766,2644,2681,2917,2432,1480,2016-03-03 03:29:37,1280,800,386,148,6,1,PT,38.7139,-9.1394
4,1,5,2,5,1,4,2,4,2,2,4,3,3,2,3,3,1,3,2,1,0,2,5,2,3,1,5,5,4,4,2,5,2,3,2,5,2,3,4,5,1,5,1,4,1,5,5,4,4,4977,1263,1352,1037,3848,2959,2920,1557,1792,6592,1089,2920,5991,1264,4520,1728,2737,2752,1704,2856,1015,0,4329,3288,2808,2240,1528,3792,2256,1432,3455,2865,1120,2032,2608,2056,1176,2464,1152,1120,1192,1687,1131,1656,1273,1216,1314,1072,1784,1039,2016-03-03 03:29:54,1920,1200,13,113,6,3,GB,51.5142,-0.0931
3,1,5,2,5,1,4,3,4,1,4,3,4,1,4,4,3,3,5,4,2,4,5,2,3,4,2,4,3,4,3,4,4,2,4,3,4,1,2,3,4,5,2,5,3,3,4,4,2,3,2662,3016,4064,4728,1976,2816,2912,2880,2464,2392,2448,2856,2208,2232,5552,2832,2440,2720,1736,2816,9121,3113,1544,3976,4360,1008,3088,4416,4088,2616,3688,4063,3528,2584,4056,3784,1736,2672,2408,3456,3264,4704,2048,2624,6496,1888,2328,2064,3304,1992,2016-03-03 03:30:15,1366,768,93,158,13,3,GB,52.9624,-1.1686
4,2,3,3,4,2,4,2,4,4,3,4,5,3,4,4,3,4,4,3,5,4,3,4,2,4,2,4,4,3,4,5,4,4,2,5,1,3,2,3,4,3,4,2,3,4,3,4,4,4,5812,3488,4087,2408,1143,3328,2905,3256,2416,2464,3783,3736,2016,2024,2776,3112,2535,8528,3081,1536,2480,4176,4695,2824,3761,3936,2536,4720,3024,2216,2928,3056,2167,2616,5687,3672,2760,2792,2319,2840,1816,5561,3408,6088,1864,2439,3040,1456,3311,2392,2016-03-03 03:31:03,1920,1080,8,162,13,1,DE,49.4478,11.0683
1,5,1,5,1,5,1,5,1,5,3,1,5,1,1,1,1,1,1,3,1,1,5,1,1,1,5,1,5,1,1,5,5,1,3,1,1,3,3,1,1,1,5,1,5,1,5,1,5,5,7715,2437,2020,2355,2493,830,8926,1180,3665,4747,3481,4034,4092,2435,1227,3598,1475,5917,2267,1381,4955,6652,1340,2951,5436,2328,5380,4513,3005,9968,2132,935,4031,2530,6416,2714,10892,3224,3588,1613,3483,3021,6611,2573,7221,3249,8804,1396,3502,3953,2016-03-03 03:31:50,360,640,4,204,7,2,HK,22.2833,114.15
4,3,3,3,4,1,3,3,4,5,5,2,5,4,5,4,5,4,5,5,4,4,3,4,2,5,2,4,4,3,2,4,4,4,1,4,4,3,2,2,4,4,4,2,3,2,2,3,5,5,6871,2992,8680,2464,32328,4752,3904,6320,4256,2392,2368,2592,2264,3887,3120,9344,2425,2784,2256,2167,3374,3544,3568,2888,3640,2096,3960,3328,2848,5335,3344,3048,3680,2296,2472,3264,2320,8064,2440,2913,2928,3880,1936,10232,3432,2248,3727,3696,3072,1872,2016-03-03 03:34:21,1280,1024,17,215,11,10,GB,53.45,-2.7333
4,1,5,2,4,1,4,4,2,3,2,4,3,4,2,2,2,2,1,2,4,5,1,4,1,3,1,4,4,4,4,1,4,1,4,1,5,2,3,3,3,3,4,3,3,2,3,3,3,4,2008,37636,22138,16256,4067,11459,4101,6979,7797,4946,3524,2913,4683,27318,12408,4467,3355,3245,1898,9918,26798,10766,20519,19497,2980,6391,7051,4456,4437,10267,4408,15694,2754,6059,10198,6526,12610,10971,2266,11371,5144,2313,1066,3759,2497,20494,2535,1494,8285,1359,2016-03-03 03:34:57,1366,768,2416,438,32,1,NL,52.3667,4.9
2,4,2,5,1,2,2,4,2,5,2,2,5,2,4,1,4,3,3,4,1,4,4,4,2,2,2,3,4,3,4,2,5,3,2,4,3,3,3,4,5,2,5,2,4,2,4,4,4,4,5635,3992,1448,4024,2496,3560,3592,6464,3800,2720,7744,3128,3585,3552,3624,7208,3504,4056,3640,2448,8344,3000,2480,2320,7145,3824,4312,2760,8448,3488,4080,5088,9352,7856,5344,4624,3424,4120,3720,2808,5216,14032,3783,2960,5888,2704,6928,1744,2744,1560,2016-03-03 03:38:25,1280,1024,9,232,21,7,GB,51.5142,-0.0931
4,1,5,1,5,1,4,2,4,2,4,3,4,4,3,1,3,4,5,2,3,3,3,3,2,3,2,3,3,3,3,1,2,3,2,4,2,3,3,2,3,4,5,2,2,4,2,3,3,5,6823,4528,5016,2344,2400,3848,6904,4248,3728,3248,2912,2800,5648,5256,19584,4690,5065,3008,3440,2032,7567,4344,6088,4408,6632,6008,4280,3368,2928,2448,5280,5528,6408,3472,4096,7655,2408,3880,5648,4008,5168,7368,9391,3496,7968,4862,3175,4968,3471,2856,2016-03-03 03:38:30,1600,1200,3,248,20,10,GB,53.45,-2.7333
3,2,3,2,4,2,3,4,2,1,4,3,4,3,3,3,2,2,4,1,5,4,3,4,2,3,2,4,4,4,4,1,4,2,3,2,4,3,3,4,3,4,3,2,3,2,5,3,2,3,8060,3407,2789,3153,5524,2397,4563,5280,2983,2417,2673,3647,1898,5472,5106,3082,3272,4982,2223,2850,1331,2382,2457,3479,3698,2260,3555,3954,3041,3024,7397,5661,2723,2685,4765,4259,2739,22311,2385,3200,2903,20660,6364,118711,3652,8000,5633,2137,7038,26942,2016-03-03 03:38:51,1536,864,56,368,12,2,NL,52.3667,4.9
4,1,4,4,5,1,5,1,5,2,2,3,3,4,1,1,3,1,2,1,1,5,1,5,1,4,2,4,4,5,5,4,5,1,4,2,4,1,5,5,5,1,5,1,5,5,4,5,5,5,7594,4288,3448,3552,2928,2784,3017,4872,4272,4488,6000,3568,5208,4008,7272,7959,3680,4960,3112,1928,1167,3704,4440,3776,26415,2208,9367,2520,4664,4952,2991,5160,4448,2840,3241,5313,1864,2400,2176,30224,2328,3624,2759,4040,1991,3240,17304,2304,5960,1400,2016-03-03 03:40:05,1366,768,92,260,15,2,CA,46.0965,-64.7976
